Source,Date (local),Time (local),Latitude,Longitude,Depth,Magn. (Ml),Epicenter error (km),Depth error (km),Intensity
INPRES web,20211123,16:59:44.0,-38.216,-68.557,4,3.2,20,20,
Vazquez et al. & @RedGeoChile,20211204,09:26:03.0,-38.564,-69.12,2,1.5,20,20,4 km to the NNO of Sauzal Bonito. II Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20211204,18:45:45.0,-38.564,-69.122,4,2,20,20,4 km to the NNO of Sauzal Bonito. II Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20211206,14:24:00.0,-38.565,-69.125,3,2.1,20,20,4 km to the NNO of Sauzal Bonito. II Sauzal Bonito 
INPRES web,20220107,06:38:02.0,-38.137,-68.573,5,3.4,20,20,II a III - Anhelo 
INPRES web,20220413,15:24:14.0,-38.097,-68.579,4,4.1,20,20,III - Anhelo 
INPRES web,20220413,23:31:00.0,-38.129,-68.614,3,3.3,20,20,
Vazquez et al. & @RedGeoChile,20220414,10:37:14.0,-38.65,-69.04,4,2.4,20,20,8 km to the SE of Sauzal Bonito. III Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20220417,10:30:02.0,-38.598,-69.074,4,2,20,20,3 km to the E of Sauzal Bonito. II-III Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20220417,17:23:15.0,-38.543,-69.069,2,2.2,20,20,7 km to the NE of Sauzal Bonito. II-III Sauzal Bonito 
INPRES web,20220418,04:38:44.0,-38.651,-69.077,3,2.5,20,20,II a III - Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20220419,13:43:19.0,-38.588,-69.139,3,1.5,20,20,3 km to the NO of Sauzal Bonito. II Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20220420,20:28:15.0,-38.576,-69.058,2.8,2.2,20,20,5 km to the NE of Sauzal Bonito. III-IV Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20220421,00:48:20.0,-38.58,-69.076,2,1.6,20,20,3 km to the NE of Sauzal Bonito. II Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20220421,09:24:07.0,-38.578,-69.074,2.6,1.8,20,20,4 km to the NE of Sauzal Bonito. II-III Sauzal Bonito 
INPRES web,20220422,00:57:02.0,-38.652,-69.054,4,2.5,20,20,
INPRES web,20220423,02:33:41.0,-38.605,-69.089,6,2.6,20,20,
INPRES web,20220424,00:12:28.0,-38.607,-69.075,5,2.7,20,20,II a III - Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20220425,22:15:02.0,-38.557,-69.07,4.4,1.9,20,20,6 km to the NE of Sauzal Bonito. 
Vazquez et al. & @RedGeoChile,20220426,19:24:16.0,-38.583,-69.125,2.3,1.9,20,20,3 km to the NO of Sauzal Bonito. II-III Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20220426,23:07:41.0,-38.579,-69.074,3,2.2,20,20,4 km to the NE of Sauzal Bonito. III-IV Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20220427,13:25:12.0,-38.578,-69.107,2.7,1.9,20,20,3 km to the N of Sauzal Bonito. III Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20220429,18:25:29.0,-38.587,-69.137,3.3,2.4,20,20,3 km to the NO of Sauzal Bonito. IV Sauzal Bonito 
INPRES web,20220501,23:44:01.0,-38.137,-68.668,6,3.3,20,20,II a III - Anhelo 
Vazquez et al. & @RedGeoChile,20220503,00:00:59.0,-38.353,-69.041,3.3,2.3,20,20,22 km to the O of Anhelo. 
Vazquez et al. & @RedGeoChile,20220503,23:28:09.0,-38.605,-68.179,5.4,2.2,20,20,6 km to the O of Sauzal Bonito. III Sauzal Bonito 
INPRES web,20220504,13:24:20.0,-38.634,-69.057,3,2.7,20,20,III a IV - Sauzal Bonito 
INPRES web,20220509,00:20:01.0,-38.678,-68.968,4,4.3,20,20,IV a V - Sauzal Bonito IV a V - Anhelo. III - City of Neuquen
Vazquez et al. & @RedGeoChile,20220527,15:20:03.0,-38.755,-69.182,4,2.2,20,20,18 km to the SO of Sauzal Bonito. II Sauzal Bonito 
INPRES web,20220801,16:29:24.0,-38.214,-69.067,5,3.6,20,20,
INPRES web,20220801,20:27:13.0,-38.232,-69.069,5,2.9,20,20,
INPRES web,20220801,21:08:20.0,-38.244,-69.144,3,2.5,20,20,
INPRES web,20220802,06:47:20.0,-38.07,-68.97,4,3.3,20,20,
Vazquez et al. & @RedGeoChile,20220802,11:21:47.0,-38.343,-68.993,2.7,3.1,20,20,18 km to the O of Anhelo. 
INPRES web,20220802,11:21:48.0,-38.256,-68.986,4,2.8,20,20,
INPRES web,20220802,20:54:33.0,-38.222,-69.021,3,2.5,20,20,
Vazquez et al. & @RedGeoChile,20220808,12:59:30.0,-38.569,-69.088,2,2.1,20,20,4 km to the NE of Sauzal Bonito. III-IV Sauzal Bonito 
INPRES web,20221021,21:42:25.0,-38.243,-68.747,4,2.7,20,20,
INPRES web,20221109,14:43:42.0,-38.193,-68.661,4,3.7,20,20,
INPRES web,20221118,06:41:57.0,-38.655,-68.917,7,3.9,20,20,III - Anhelo III a IV - Sauzal Bonito
INPRES web,20221118,07:46:53.0,-38.593,-68.856,6,2.6,20,20,
INPRES web,20221122,00:11:52.0,-38.176,-68.657,6,2.9,20,20,
INPRES web,20221212,04:55:10.0,-38.208,-68.625,3,2.7,20,20,
INPRES web,20230122,19:01:42.0,-37.826,-68.767,21,2.6,20,20,
INPRES web,20230131,21:41:48.0,-38.306,-68.745,11,2.6,20,20,
INPRES web,20230311,01:44:28,-38.665,-69.302,4,2.7,20,20,
INPRES web,20230411,19:21:29,-38.05,-68.62,6,2.5,20,20,
INPRES web,20230415,06:25:53,-38.088,-68.626,7,2.6,20,20,
INPRES web,20230415,16:21:54,-38.215,-69.292,6,2.6,20,20,
INPRES web,20230421,12:49:09,-38.103,-68.632,7,3.1,20,20,
INPRES web,20230427,13:43:34,-38.079,-68.633,8,2.8,20,20,
INPRES web,20230430,20:14:36,-38.412,-69.075,10,2.5,20,20,
INPRES web,20230507,16:13:38,-38.095,-68.571,5,2.7,20,20,
INPRES web,20230511,02:49:16,-38.053,-68.633,8,3.4,20,20,
INPRES web,20230513,06:26:32,-38.11,-68.596,4,2.6,20,20,
INPRES web,20230514,20:01:59,-38.574,-69.217,6,2.5,20,20,
INPRES web,20230521,16:20:57,-38.095,-68.616,7,2.5,20,20,
INPRES web,20230522,00:38:33,-38.689,-69.228,6,2.5,20,20,
INPRES web,20230523,19:17:28,-38.581,-69.245,7,3.3,20,20,III a IV -Sauzal Bonito, Neuquen. II a III -Anhelo
INPRES web,20230525,06:46:37,-38.578,-69.235,7,2.7,20,20,
INPRES web,20230529,11:47:18,-38.604,-69.026,7,2.6,20,20,II a III -Sauzal Bonito
INPRES conf. 03,20230531,20:54:18,-38.58,-69.495,6,2,20,20,
INPRES web,20230604,05:38:53,-38.595,-69.498,7,2.5,20,20,
INPRES conf. 03,20230605,04:35:05,-38.602,-69.061,5,2.2,20,20,II a III -Sauzal Bonito
INPRES web,20230604,05:38:53,-38.595,-69.498,7,2.5,20,20,
INPRES web,20230615,19:27:31,-38.573,-69.232,7,2.6,20,20,
INPRES web,20230615,10:50:06,-38.058,-68.613,19,2.6,20,20,
INPRES web,20230615,02:58:47,-37.491,-69.427,15,2.5,20,20,
INPRES web,20230705,08:39:31,-38.573,-69.233,23,2.6,20,20,
INPRES web,20230724,17:22:18,-38.588,-69.512,9,2.6,20,20,
INPRES web,20230901,07:44:47,-38.644,-69.218,5,2.5,20,20,
INPRES web,20230902,15:40:40,-37.475,-69.352,9,3.2,20,20,
INPRES web,20230903,12:24:01,-37.482,-69.347,4,2.8,20,20,
INPRES web,20230904,08:41:26,-38.067,-68.657,8,2.6,20,20,
INPRES web,20230908,18:04:29,-38.592,-69.02,6,4,20,20,IV a V -Sauzal Bonito, Neuquen, III a IV -Anhelo, Neuquen, III -Cutral Co, Neuquen 
INPRES web,20230910,05:01:28.000,-37.481,-69.359,9,3,20,20,II a III -Rincon de Los Sauces Neuquen
INPRES web,20230914,03:41:57.000,-37.528,-69.352,5,2.5,20,20,
INPRES web,20230916,05:37:12.000,-37.543,-69.429,12,2.5,20,20,
INPRES web,20230919,04:58:42.000,-38.584,-69.051,6,2.6,20,20,II a III -Sauzal Bonito Neuquen
INPRES web,20230919,04:31:39.000,-37.593,-69.367,5,2.5,20,20,
INPRES web,20230920,14:58:45.000,-37.481,-69.366,10,2.5,20,20,
INPRES web,20230920,11:27:27.000,-37.598,-69.419,4,2.6,20,20,
INPRES web,20230921,14:38:05.000,-37.536,-69.385,5,2.7,20,20,
INPRES web,20230921,04:12:54.000,-38.582,-69.039,6,2.6,20,20,II a III -Sauzal Bonito Neuquen
INPRES web,20230928,15:26:43.000,-37.471,-69.327,7,3,20,20,
INPRES web,20231006,01:46:29.000,-37.498,-69.35,6,3,20,20,
INPRES web,20231013,17:44:38.000,-38.112,-68.606,9,3.3,20,20,
INPRES web,20231014,03:48:55.000,-37.553,-69.389,4,2.6,20,20,
INPRES web,20231017,19:16:01.000,-38.09,-68.661,9,2.8,20,20,
INPRES web,20231017,04:57:02.000,-38.05,-68.645,9,2.8,20,20,
INPRES web,20231023,00:13:23.000,-37.518,-69.35,6,2.6,20,20,
INPRES web,20231026,00:54:46.000,-38.077,-68.654,7,2.7,20,20,
INPRES web,20231114,18:17:49.000,-38.126,-68.468,7,2.5,20,20,
INPRES web,20231116,13:09:17.000,-38.057,-68.667,8,2.7,20,20,
INPRES web,20231124,16:29:12.000,-38.062,-68.644,9,2.5,20,20,
INPRES web,20231128,14:59:30.000,-38.056,-68.612,8,2.6,20,20,
INPRES web,20231130,11:27:20.000,-38.075,-68.576,8,2.9,20,20,
INPRES web,20231202,22:39:56.000,-38.072,-68.582,8,3.2,20,20,
INPRES web,20231204,03:54:27.000,-38.062,-68.605,12,3.3,20,20,
INPRES web,20231205,02:24:47.000,-38.066,-68.604,9,2.8,20,20,
INPRES web,20231213,23:50:11.000,-38.402,-69.092,8,2.6,20,20,
INPRES web,20231213,07:04:37.000,-38.082,-68.618,7,2.5,20,20,
INPRES web,20231214,10:46:30.000,-38.402,-69.102,8,2.7,20,20,
INPRES web,20231217,04:14:24.000,-38.155,-68.689,7,3,20,20,
INPRES web,20231224,19:34:00.000,-38.065,-68.655,9,2.5,20,20,
INPRES web,20231224,07:18:56.000,-38.059,-68.667,8,3.6,20,20,
INPRES web,20231228,03:38:31.000,-38.075,-68.573,8,3.9,20,20,III -Auca Mahuida Neuquen; III -Aguada San Roque Neuquen
INPRES web,20240113,07:35:13.000,-38.157,-68.625,5,3,20,20,
INPRES web,20240120,14:56:30.000,-37.836,-69.048,10,2.5,20,20,
INPRES web,20240121,15:32:22.000,-38.298,-68.762,5,3.9,20,20,IV a V -Anhelo Neuquen; II a III -Sauzal Bonito Neuquen
INPRES web,20240122,05:26:17.000,-38.076,-68.456,9,3.5,20,20,
INPRES web,20240202,01:06:52.000,-38.291,-68.779,8,2.5,20,20,
INPRES web,20240211,12:08:08.000,-38.608,-69.4,7,2.6,20,20,
INPRES web,20240211,04:45:07.000,-38.6,-69.413,6,2.5,20,20,
INPRES web,20240211,03:50:06.000,-38.603,-69.425,6,2.5,20,20,
INPRES web,20240219,08:44:00.000,-37.442,-69.422,8,3.7,20,20,
INPRES web,20240222,12:30:57.000,-37.461,-69.412,9,2.6,20,20,
INPRES web,20240224,10:12:16.000,-37.447,-69.424,9,2.9,20,20,
INPRES web,20240229,19:59:06.000,-37.459,-69.423,10,3.2,20,20,
INPRES web,20240229,03:11:10.000,-37.446,-69.397,8,2.6,20,20,
INPRES web,20240303,15:46:39.000,-37.464,-69.384,8,2.7,20,20,
