ID,X,Y,SIGLA,SIGLA_MOD,OBS,TYPE,SUBTYPE,FORM_PROD,PROF2,PROF,HIGH,CLAS,SUBCLAS,FLUID,START_DRIL,END_DRILL,START_TERM,END_TERM,FR_fr_quan,FR_sand_mt,FR_inj_w_m,FR_inj_co2,FR_w+s,FR_fr_star,FR_fr_end
95359,-69.246566999999999,-38.259231999999997,TAU.Nq.AP-281(h),TAU.NQ.AP-281,,NO CONVENCIONAL,TIGHT,mulichinco,,2910,612,EXPLOTACION,DESARROLLO,Gasifero,27/07/2016,10/08/2016,22/09/2016,12/10/2016,15,675,3153,0,3423,09/22/16,09/30/16
100415,-68.226529999999997,-38.720716000000003,YPF.Nq.RN-2049(d),YPF.NQ.RN-2049,,NO CONVENCIONAL,TIGHT,punta rosada,,3911,348,EXPLOTACION,DESARROLLO,Gasifero,29/04/2021,18/05/2021,17/07/2021,04/08/2021,15,1427,6272,0,6843,07/17/21,07/23/21
102076,-68.237960999999999,-38.706305000000000,YPF.Nq.RN-2047(d),YPF.NQ.RN-2047,,NO CONVENCIONAL,TIGHT,punta rosada,,3854,351,EXPLOTACION,DESARROLLO,Gasifero,29/11/2022,02/02/2023,28/03/2023,14/04/2023,15,1625,7422,0,8072,03/29/23,04/07/23
94030,-69.235836000000006,-38.398569000000002,TAU.Nq.APGe-312(h),TAU.NQ.APGE-312,,NO CONVENCIONAL,SHALE,vaca muerta,,4473,525,EXPLOTACION,DESARROLLO,Gasifero,31/10/2014,25/03/2015,,,15,3532,31350,0,32763,09/20/15,10/04/15
95966,-68.577956000000000,-38.262405999999999,YPF.Nq.LACh-39(h),YPF.NQ.LACH-39,,NO CONVENCIONAL,SHALE,vaca muerta,,4477,473,EXPLOTACION,DESARROLLO,Petrolifero,06/11/2016,06/12/2016,15/02/2017,20/03/2017,16,4015,15657,0,17263,02/18/17,03/03/17
97204,-68.577841000000006,-38.262405000000001,YPF.Nq.LACh-40(h),YPF.NQ.LACH-40,,NO CONVENCIONAL,SHALE,vaca muerta,,4535,473,EXPLOTACION,DESARROLLO,Petrolifero,07/10/2016,06/11/2016,12/02/2017,20/03/2018,16,3729,15590,0,17082,02/19/17,02/01/18
93525,-68.604927000000004,-38.353375999999997,YPF.Nq.SOil-228(h),YPF.NQ.SOIL-228,,NO CONVENCIONAL,SHALE,vaca muerta,,4768,442,EXPLOTACION,DESARROLLO,Petrolifero,10/03/2015,15/04/2015,,,16,3736,14863,0,16358,06/24/15,07/01/15
94291,-68.526939999999996,-38.400469999999999,SHE.Nq.CdL.e-4(h),SHE.NQ.CDL.E-4,,NO CONVENCIONAL,SHALE,vaca muerta,,4930,488,EXPLORACION,EXTENSION,Petrolifero,15/04/2015,11/06/2015,19/09/2015,31/10/2015,16,2584,21851,0,22885,09/19/15,10/31/15
95976,-68.539078000000003,-38.371975999999997,YPF.Nq.SOil-354(h),YPF.NQ.SOIL-354,,NO CONVENCIONAL,SHALE,vaca muerta,,4825,469,EXPLOTACION,DESARROLLO,Petrolifero,23/07/2016,09/08/2016,17/12/2016,01/03/2017,16,3104,20911,0,22153,12/18/16,02/21/17
95964,-68.692110000000000,-38.221834999999999,YPF.Nq.LACh-24(h),YPF.NQ.LACH-24,,NO CONVENCIONAL,SHALE,vaca muerta,,3018,338,EXPLOTACION,DESARROLLO,Petrolifero,24/08/2016,22/09/2016,17/11/2016,15/03/2017,16,3990,15997,0,17593,11/18/16,02/20/17
